video_id;title;publish_date;video_length_seconds;wiedergabezeit_minuten;durchschnittliche_wiedergabedauer_prozent;gewonnene_abonnenten;verlorene_abonnenten;likes;dislikes;geteilte_inhalte;kommentare;audience_female_age18-24;audience_male_age18-24;audience_female_age25-34;audience_male_age25-34;audience_female_age35-44;audience_male_age35-44;audience_female_age45-54;audience_male_age45-54;audience_female_age55-64;audience_male_age55-64;audience_female_age65-;audience_male_age65-;audience_female_age13-17;audience_male_age13-17;Neue Zuschauer;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;Mag ich nicht-Bewertungen;Im Feed angezeigt;Impressionen;Bewertung_Titel;Gestaltung_Thumbnail;theme_Bilder;theme_Krieg;theme_Politik;theme_Sonstiges;theme_Wirtschaft
KzK57BrM1EA;"""""""Machen mir mein Laden kaputt"""" - Warum ein Café-Besitzer Jogginghosen verbietet | ntv""";04.09.2024 08:52;81;8908;41,66;5,0;2;80;16;33;65,0;;1,0;0,2;3,4;1,2;6,6;2,4;7,9;7,2;18,6;16,4;35,2;;;736,0;43;0;0;16;0;42775,0;6,5;1;False;False;False;True;False
MkaSDcfxrow;6-Jähriger bedroht eigenen Lehrer - Großbritannien kämpft gegen inflationäre Messerangriffe | ntv;24.03.2024 16:32;145;7911;56,05;3,0;1;85;1;37;42,0;;7,3;0,9;11,9;1,7;15,5;2,6;12,3;6,3;15,5;9,9;16,1;;;176,0;21;0;0;1;0;46854,0;8,0;1;False;False;False;True;False
Rcctu8j-Dpw;"""""""Niemals hinnehmen"""" - Scholz zu russischer Spionage - Auch in Polen Agent festgenommen  | ntv""";19.04.2024 08:49;81;40967;55,51;19,0;0;325;256;82;320,0;0,8;7,7;1,7;18,1;2,0;17,8;2,4;12,9;3,6;13,2;5,3;14,4;;1,0;9414,0;169;0;0;256;0;1735271,0;6,5;1;False;True;False;False;False
oN5AkEsXqjQ;"""""""Wirklich angsteinflößend"""" - Unmengen Drohnen setzen ukrainischer Artillerie zu | ntv""";08.05.2024 10:59;144;89407;55,33;27,0;1;480;92;46;102,0;0,1;2,6;0,6;8,2;0,9;15,3;1,2;18,6;1,8;24,9;2,5;23,2;;;8353,0;414;0;0;92;0;705229,0;7,5;1;False;True;False;False;False
TrpiyGUFgWY;"""BSW-Chefin Wagenknecht mit Rundumschlag: Lindner """"arrogant"""", Grüne """"nicht seriös"""" | ntv""";14.11.2024 10:07;687;1096990;44,56;297,0;12;3913;372;1053;1255,0;0,4;2,1;1,2;6,7;2,0;8,3;2,8;9,2;6,8;17,0;14,0;29,5;;;26605,0;1009;3;0;372;0;3178365,0;8,5;2;False;False;True;False;False
9C-s_M1gx1s;Smartphone, Starlink, Sprengfallen: Versteckter Ukraine-Trupp bringt heimlich Tod von oben | ntv;22.05.2024 09:38;153;87666;31,66;13,0;0;178;22;36;29,0;0,0;0,4;0,2;1,9;0,5;6,8;0,9;11,6;2,8;25,0;6,6;43,1;;;10746,0;180;0;0;22;0;105417,0;6,5;1;False;True;False;False;False
AxGo_C_b2Ck;Harris kann Trump schlagen - Ulrich Lechte, FDP-Außenpolitiker im Frühstart | ntv;24.07.2024 11:06;506;26558;34,06;15,0;2;169;171;23;220,0;1,9;6,3;2,5;9,7;2,7;10,3;3,4;10,7;6,0;16,4;11,0;19,1;;;1761,0;84;0;0;171;0;1099972,0;6,5;1;False;False;True;False;False
RCIF_EYzUCI;"""Beisenherz zum Rheinmetall-Deal: BVB """"sollte nicht so tun, als ginge es nicht ums Geld""""  | ntv""";30.05.2024 09:35;114;2685;59,88;1,0;2;42;23;11;45,0;;4,0;;16,8;1,5;22,6;2,3;14,6;3,1;17,1;3,9;13,8;;;462,0;16;0;0;23;0;22877,0;6,5;2;False;False;False;False;True
HwWwPB610qA;"""Atommüll in Asse zu lagern """"war ein schwerer Fehler"""" - Smital zu Endlager-Diskussion  | ntv""";11.07.2024 07:44;242;1971;44,52;0,0;1;30;3;10;10,0;;;;11,8;;18,6;;17,2;;19,3;4,4;28,7;;;55,0;9;0;0;3;0;23828,0;6,5;1;False;False;False;True;False
Pd7mJpSnJ-4;"""Was geschah mit russischem Flieger? Absturz-Zeugen: """"zwei Explosionen"""" und ein """"roter Blitz"""" | ntv""";25.01.2024 12:03;188;143025;48,67;78,0;5;514;123;106;0,0;0,4;3,9;1,2;9,4;1,8;11,7;2,4;11,4;4,6;17,8;8,0;27,1;;1,0;18764,0;793;0;0;125;0;1956131,0;6,5;1;False;False;False;True;False
UOs9Fwc9HEE;"""GDL-Wellenstreik """"unverantwortlich und unanständig"""" - CSU-General Huber im Frühstart | ntv""";11.03.2024 10:05;364;7889;37,71;6,0;0;47;30;10;56,0;;5,1;1,2;16,5;2,0;15,6;2,4;12,3;4,3;14,7;9,1;16,8;;;492,0;7;0;0;30;0;149217,0;6,5;2;False;False;False;False;True
itRIbEiUAuY;"""""""Letzte Generation tut sich selbst keinen Gefallen"""" - Matthias Miersch (SPD) im Frühstart | ntv""";25.07.2024 10:32;347;15337;41,32;4,0;0;125;45;25;108,0;;1,4;;4,4;1,7;8,6;2,8;11,5;6,3;24,1;13,9;25,3;;;742,0;8;0;0;45;0;118858,0;7,5;2;False;False;True;False;False
4n3wh4lku24;Erkältungsmythen unter der Lupe - Was stimmt? Was hilft? | ntv Ratgeber;18.01.2024 10:21;271;1075;41,98;1,0;2;19;1;8;0,0;;;;;;;;;;;;;;;54,0;1;0;0;1;0;19702,0;6,5;1;False;False;False;True;False
yYkOfWHc2-M;"""""""Keine Hinterzimmer-Deals"""" - EVP-Chef Weber will von der Leyen an EU-Spitze | ntv Frühstart""";17.06.2024 10:57;552;21153;0,0;6,0;1;85;224;29;185,0;0,4;3,8;1,4;9,4;2,0;11,8;3,6;9,6;6,8;13,4;16,4;21,4;;;948,0;59;0;0;224;0;530803,0;6,5;2;False;False;True;False;False
oICb0R6mYWU;"""Heil buhlt um indische Fachkräfte - """"Indien ist idealer Partner außerhalb der EU"""" | ntv""";26.10.2024 21:47;314;16170;22,93;8,0;1;94;218;164;403,0;0,2;2,5;2,0;10,5;2,8;11,0;4,2;10,3;7,7;13,9;13,5;21,5;;;2018,0;18;0;0;218;0;746627,0;6,5;3;False;False;True;False;False
w6Mgt7gGTlE;"""""""Rattenrennen, wer 'den Ausländer' schlechter behandelt"""" - Augstein fährt Blome zum Kanzler | ntv""";13.09.2024 08:14;233;7138;48,97;2,0;1;57;36;33;34,0;;;;6,1;0,7;9,9;2,6;14,1;7,8;20,1;13,8;24,9;;;123,0;0;0;0;36;0;51165,0;6,5;3;False;False;True;False;False
U3kt40R0MDM;Deutsche Bahn will bis zu 30.000 Jobs abbauen - Beratungen zur Sanierung | ntv;18.09.2024 15:02;120;14614;40,33;9,0;0;143;14;78;74,0;0,4;7,8;1,0;11,9;2,4;11,5;3,1;10,9;5,3;15,9;9,2;20,5;;;2527,0;54;0;0;14;0;139743,0;6,5;2;False;False;False;False;True
kP12yTyDDFY;TV-Duell zwischen Walz und Vance: Bei diesen Themen geht es zwischen den US-Vizes zur Sache | ntv;02.10.2024 10:00;100;2528;54,27;2,0;0;40;5;13;7,0;;2,2;;5,8;0,9;5,4;3,5;8,8;6,8;16,9;18,9;30,7;;;236,0;52;1;0;5;0;79407,0;6,5;2;False;False;True;False;False
vRfeAlyL0F0;"""""""Sozialstaat soll nicht fetter, sondern fitter werden"""" - FDP-Vize im ntv Frühstart  | ntv""";08.04.2024 10:26;424;20558;21,01;7,0;1;76;103;14;117,0;0,7;3,7;1,7;13,2;2,0;14,8;3,2;13,4;5,6;14,9;8,9;17,7;;;2417,0;32;0;0;103;0;1082896,0;6,5;2;False;False;True;False;False
PouamTRbg38;Ukrainische Grenzregion verwaist zusehends - Verlassenes Kriegsgerät, wilde Gänse  | ntv;01.09.2024 09:27;262;132096;49,44;48,0;2;543;134;53;164,0;0,1;0,8;0,4;3,4;0,8;8,1;1,3;12,7;3,3;24,7;7,4;37,1;;;4107,0;732;17;0;134;0;811005,0;6,5;2;False;True;False;False;False
IobNOoCitQU;Arrow 3 stoppt Raketen außerhalb der Erdatmosphäre - So funktioniert Israels Abwehrsystem | ntv;14.04.2024 19:09;117;15335;50,36;10,0;2;96;16;60;30,0;;2,6;0,7;8,9;0,8;14,5;1,0;14,1;2,0;20,1;3,3;32,0;;;2308,0;53;0;0;16;0;120026,0;8,5;1;False;True;False;False;False
NVKpUoJIpZs;"""SIPRI: """"Wettrüsten"""" - Ukraine klettert auf Platz vier der Waffenimporteure | ntv""";11.03.2024 10:02;103;42727;45,69;29,0;2;249;160;53;145,0;0,5;6,3;1,1;13,7;1,6;15,8;1,7;14,5;2,5;17,5;4,6;19,8;;2,0;9954,0;79;0;0;160;0;1470786,0;6,5;1;False;False;False;False;True
HF2VZsbIJ6A;"""""""Es gibt keine Rente mit 63 mehr"""" - Arbeitsminister Heil im Frühstart  | ntv""";22.10.2024 09:39;434;239459;45,16;124,0;12;440;302;409;442,0;0,1;0,5;0,4;2,1;1,2;4,9;3,2;7,9;17,0;36,8;8,7;17,1;;;11891,0;212;13;0;302;1;400633,0;8,5;3;False;False;True;False;False
H_vaRSda4AY;"""Wagenknecht """"ist offenbar Vorsitzende einer Ich-AG"""" | ntv #beisenherz""";29.10.2024 17:34;2620;345036;33,56;75,0;2;279;107;75;159,0;0,1;1,4;0,7;6,0;1,9;9,5;2,9;12,7;7,2;18,6;14,5;24,6;;;1460,0;41;5;0;107;0;266377,0;6,5;3;False;False;True;False;False
DPdd5EDnWOQ;"""Verena Hubertz im ntv Frühstart""""Die Leistung der Ampel lässt sich durchaus sehen"""" | ntv""";12.09.2024 12:56;430;10579;27,71;5,0;0;50;85;7;113,0;;1,1;;4,2;1,1;10,5;2,6;14,6;4,5;26,9;7,7;26,8;;;68,0;5;1;0;85;0;115759,0;6,5;3;False;False;True;False;False
PRcuqtYXVl0;Ballons und Süßigkeiten sollen vermissten Arian locken - Kamera zeichnet Verschwinden auf | ntv;25.04.2024 09:00;81;60939;46,63;29,0;1;402;22;177;145,0;1,5;2,3;4,6;4,8;9,4;6,1;9,6;5,0;15,6;6,8;22,7;11,5;0,0;0,0;20236,0;197;0;0;22;0;696553,0;7,5;1;False;False;False;True;False
bzb2IPbmrbc;Diese Folgen hätte ein Sieg Trumps für Europa - Banger Blick auf US-Wahlkampf | ntv;03.07.2024 11:33;135;8776;56,45;3,0;2;79;17;18;31,0;;1,5;0,5;6,9;0,6;11,6;2,0;12,0;5,2;19,7;10,5;29,5;;;467,0;48;0;0;17;0;67626,0;7,5;2;False;False;True;False;False
xKIYkenFYBw;"""Harris gibt seltenes Interview: """"Wäre Trump Präsident, würde Putin jetzt in Kiew sitzen"""" | ntv""";08.10.2024 17:40;122;58241;24,96;14,0;3;193;46;47;113,0;0,1;0,6;0,5;1,9;1,0;4,4;2,0;7,8;6,0;19,1;16,1;40,3;;;21879,0;51;5;0;46;0;166551,0;6,5;3;False;False;True;False;False
o3oyNK_icho;Körper voller Splitter: Patienten im Evakuierungszug zeugen vom Front-Horror | ntv;15.11.2024 12:55;115;5468;57,99;3,0;0;75;7;19;27,0;;1,9;;4,5;1,4;7,7;2,6;13,2;5,7;21,0;10,1;32,0;;;279,0;281;4;0;7;0;54782,0;7,5;2;False;False;False;True;False
v9wV5QSpyRs;"""CDU-General Linnemann: """"Dieser vierte Bahnstreik ist nicht verhältnismäßig"""" | ntv #Frühstart""";23.01.2024 10:12;365;47362;39,26;16,0;2;230;311;59;0,0;0,4;4,4;0,9;11,0;1,8;10,9;2,5;9,9;6,2;15,7;12,4;23,6;;;3618,0;108;0;0;314;0;819638,0;7,5;2;False;False;False;False;True
YDixWjJJPm0;Frankreich vor Machtwechsel? Rechtspopulistin Le Pen ist die Frau der Stunde | ntv;01.07.2024 10:13;90;34249;56,45;53,0;1;596;49;83;221,0;1,9;10,2;3,2;18,5;3,1;12,9;3,2;9,4;4,8;11,3;8,2;13,3;;;11343,0;224;0;0;49;0;3786240,0;6,5;2;False;False;False;True;False
IW4z9vHoWmQ;"""Iran spricht von """"absoluter Ruhe"""" - Video soll Israels Angriff auf Isfahan zeigen | ntv""";19.04.2024 08:07;99;10539;62,39;16,0;1;82;27;27;50,0;0,3;4,1;1,2;15,2;1,9;17,4;2,5;13,9;4,0;16,8;5,7;17,3;;;1497,0;32;0;0;27;0;78900,0;8,5;1;False;True;False;False;False
4bs-lJhXtCs;Postgesetz wird modernisiert: Briefe sind länger unterwegs, Porto soll teurer werden  | ntv;13.06.2024 15:57;104;6989;61,54;4,0;0;92;63;90;94,0;0,8;4,1;2,2;11,2;4,1;14,2;4,9;11,8;7,8;13,5;10,8;14,7;;;858,0;50;0;0;63;0;370958,0;6,5;1;False;False;False;False;True
Xg9Zkhq6Oos;"""""""Für Wahlen zwei Dinge wichtig"""" - Sahra Wagenknecht erklärt Pläne ihrer neuen Partei | ntv""";09.01.2024 10:21;377;79820;0,0;44,0;2;624;81;189;0,0;0,5;3,5;1,4;8,9;3,0;10,9;3,8;10,0;7,9;16,9;11,5;21,7;;;6903,0;106;0;0;82;0;243671,0;6,5;2;False;False;True;False;False
Har6_YjZiao;"""Von Lucke zum Regierungscrash: """"Drei Jahre Ampeldesaster - Kakofonie des ewigen Streits"""" | ntv""";13.11.2024 10:27;275;60726;38,11;16,0;0;310;68;73;125,0;0,1;0,6;0,4;1,6;0,9;4,1;2,2;6,7;6,8;17,2;22,4;37,0;;;2666,0;54;0;0;68;0;781220,0;6,5;3;False;False;True;False;False
_xSu8Sbbqf4;"""""""Trump hat Musk allen Ernstes für E-Autos gelobt"""": Fritz über Milliardärs-Plauderei | ntv""";13.08.2024 12:27;186;47016;40,38;21,0;0;207;336;41;197,0;1,3;8,2;2,3;18,2;2,0;15,0;2,6;11,4;4,3;14,1;6,0;14,5;;;7260,0;163;6;21;336;0;2386294,0;6,5;2;False;False;False;False;True
iQzjmM-n8R4;"""Frankreich-Wahl: """"Kann keine große Freude empfinden"""" - Bijan Djir-Sarai im Frühstart  | ntv""";08.07.2024 10:26;438;18584;21,84;15,0;1;68;30;23;50,0;3,5;14,2;4,2;15,4;3,9;10,3;4,0;9,3;5,1;8,7;9,4;12,2;;;5026,0;24;0;0;30;0;4177041,0;6,5;2;False;False;True;False;False
w_LiCzUz9aI;"""Terror-Gefahr für Deutschland  durch ISPK-Mitglieder """"bleibt akut"""", so Innenministerin Faeser  | ntv""";24.03.2024 11:27;103;65523;57,61;66,0;6;702;122;409;516,0;1,0;8,3;2,6;18,0;3,4;15,7;3,7;10,4;6,2;11,5;8,2;10,9;;1,0;12833,0;531;0;0;122;0;1037055,0;6,5;1;False;False;True;False;False
ufOg_A2uixg;Warum Dschungeldoktor Bob Kim Virginia nach Kondomen fragt | ntv;18.01.2024 17:00;154;4900;47,29;4,0;1;16;4;6;0,0;1,5;5,1;1,3;8,8;1,9;13,4;1,6;16,2;5,2;21,5;8,5;15,2;;;1744,0;16;0;0;4;0;67397,0;6,5;2;False;False;False;True;False
vT8F2-ZpQlg;Halbe Bergspitze in den Alpen droht abzubrechen: Wachsender Spalt gut sichtbar | ntv;19.09.2024 14:07;111;203596;50,65;74,0;4;1018;65;496;219,0;0,3;2,3;1,0;7,4;2,1;9,6;3,4;11,0;7,3;19,6;11,0;25,0;;;49512,0;858;0;0;65;0;1408382,0;8,5;2;False;False;False;True;False
W6VaAIejac0;"""Diebstahl auf der Arbeit - ein Kavaliersdelikt? - Das gilt nach """"Tassen-Gate"""" bei Tesla  | ntv""";11.07.2024 07:41;96;1119;64,52;0,0;0;41;3;11;13,0;;;;7,7;;11,4;4,3;11,1;4,6;27,4;13,4;20,0;;;60,0;4;0;0;3;0;14631,0;8,5;1;False;False;False;True;False
